ticker,name,close,pct_change,rec_badge,cat_badge,metrics,reason
NVDA,NVIDIA Corporation,204.58,-3.70,BUY,芯片,市值$5.0T | P/S 32x | 毛利率75%,推理需求结构转移NVDA生态锁定最深，短期回调不改核心持仓地位
AMD,Advanced Micro Devices,512.33,-6.38,BUY,芯片,MI400出货Q3 | 服务器CPU TAM$120B | YTD+65%,MI450挑战NVDA估值修复空间大，Lisa Su指引TAM年增35%
QCOM,Qualcomm Inc.,212.97,-3.55,HOLD,芯片,Q3指引$9.2-10B | Android收入减速 | AI PC布局 intact,短期业绩miss但AI PC/Auto长期布局 intact，等待回调后加仓
TSM,Taiwan Semiconductor,432.59,-2.00,BUY,芯片,2nm量产2025H2 | 美国凤凰厂高量投产 | 70%先进制程市占,先进制程绝对垄断地位，地缘风险已price in部分，产能持续扩张
AVGO,Broadcom Inc.,393.08,-0.22,BUY,芯片,定制AI芯片收入$12B/年 | VMware整合完成 | 毛利率80%+,Google/Meta定制芯片核心供应商，AI ASIC趋势最大受益者
MU,Micron Technology,1041.41,-4.28,BUY,芯片,HBM3E量产 | DDR5供需紧 | 内存周期复苏确认,HBM3E供不应求，AI服务器内存密度提升驱动长期需求
AMAT,Applied Materials,592.89,1.21,BUY,芯片,BIS罚款$300M已消化 | 中国设备收入占比18% | 刻蚀龙头,先进封装设备需求爆发，HBM/3D封装核心设备供应商
LRCX,Lam Research,374.14,-3.80,HOLD,芯片,刻蚀/沉积双龙头 | 存储设备周期复苏 | 毛利率47%,存储资本开支回暖带动设备需求，先进工艺刻蚀复杂度提升
ASML,ASML Holding,1869.34,-1.23,BUY,芯片,EUV垄断 | High-NA EUV 2028量产 | 订单积压$40B+,光刻绝对垄断，High-NA技术护城河加深，长期订单可见性最强
INTC,Intel Corporation,121.19,-5.22,BUY,芯片,YTD+240% | 18A工艺上线 | Apple代工传闻,18A里程碑验证+Apple潜在代工订单，估值修复空间仍大
GOOGL,Alphabet Inc.,363.81,-1.50,BUY,应用,Gemini 3.1 Ultra | 云收入增速26% | 搜索AI集成,Gemini生态+TPU自研+搜索AI化，三层护城河 intact
MSFT,Microsoft Corp.,378.61,-5.29,BUY,应用,Azure增速31% | Copilot ARR>$10B | OpenAI深度绑定,企业AI消费最高确定性，Copilot生态粘性构建中
META,Meta Platforms,567.85,-4.32,BUY,应用,Llama 4开源 | Reels变现加速 | AI推荐引擎驱动DAU,开源模型战略+社交广告AI优化，AI应用层最大变现平台
AAPL,Apple Inc.,295.86,-0.19,SPEC BUY,应用,iOS 27开放第三方AI | 服务端AI资本开支$10B+/年,端侧AI入口价值被低估，iOS开放AI模型选择生态变革
PLTR,Palantir Technologies,130.47,-3.15,SPEC BUY,应用,AIP平台增速>50% | 政府合同扩张 | 估值溢价明显,企业AI平台化最激进，但估值需警惕，适合高风险偏好
SNOW,Snowflake Inc.,234.52,-2.60,HOLD,应用,Cortex AI集成 | 收入增长22% | 竞争加剧,数据平台AI化转型中，但Databrick等竞争压力上升
BABA,Alibaba Group,107.465,-4.52,HOLD,应用,Qwen3 MoE | 阿里云增速14% | 通义千问DAU 2500万,中国AI云龙头但增长放缓，关注Qwen3商业化进展
TSLA,Tesla Inc.,395.755,-3.74,HOLD,应用,FSD V13延迟 | Optimus量产2026 | 能源业务增长,机器人+AI叙事 intact，但短期业绩波动大，需事件催化
CEG,Constellation Energy,267.40,-0.22,BUY,能源,核电重启+AI数据中心供电 | 订单积压$30B+ | 监管绿灯,AI算力电力需求爆发最直接受益者，核电复兴核心标的
CCJ,Cameco Corp.,105.67,-2.05,BUY,能源,铀价$85/lb | 供给缺口持续 | 核电复兴原料端,铀供需结构性缺口，核电复兴上游最直接杠杆
OKLO,Oklo Inc.,58.82,-3.16,SPEC BUY,能源,小型模块化反应堆 | Sam Altman背书 | 早期阶段高风险,先进核反应堆技术路线，Altman个人押注，高风险高回报
